contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,delta,gamma,theta,vega,rho
META250328C00607500,2025-03-21 19:59:54+00:00,607.5,6.56,0.0,0.0,0.0,0.0,1188.0,0,0.0312596875,False,REGULAR,USD,5.6199010277351734e-11,2.1942652483380713e-10,-3.978878568822714e-08,2.0042824859757466e-10,2.7529788758155225e-12
META250328C00610000,2025-03-21 19:59:59+00:00,610.0,5.7,0.0,0.0,0.0,0.0,10446.0,0,0.0312596875,False,REGULAR,USD,1.4128225416607122e-15,6.706571745654096e-15,-1.2070265249118208e-12,6.125906747570794e-15,6.921388580382561e-17
META250328C00612500,2025-03-21 19:59:13+00:00,612.5,4.9,0.0,0.0,0.0,0.0,913.0,0,0.062509375,False,REGULAR,USD,1.5103781217611295e-06,2.1756532314033423e-06,-0.0015561249176393812,3.973928117390178e-06,7.39359341129523e-08
META250328C00615000,2025-03-21 19:59:54+00:00,615.0,4.2,0.0,0.0,0.0,0.0,4874.0,0,0.062509375,False,REGULAR,USD,3.5588734175181174e-08,5.8588805984797235e-08,-4.175406865586417e-05,1.0701507947437234e-07,1.7423678525384814e-09
META250328C00617500,2025-03-21 19:59:58+00:00,617.5,3.55,0.0,0.0,0.0,0.0,693.0,0,0.062509375,False,REGULAR,USD,5.171442956509408e-10,9.580802400232844e-10,-6.808591918654475e-07,1.7499764896304931e-09,2.532122305289766e-11
META250328C00620000,2025-03-21 19:59:59+00:00,620.0,2.98,0.0,0.0,0.0,0.0,15940.0,0,0.062509375,False,REGULAR,USD,4.6484402666131456e-12,9.571967521126741e-12,-6.786889023644178e-09,1.7483627593729907e-11,2.2762356571273434e-13
META250328C00622500,2025-03-21 19:59:04+00:00,622.5,2.56,0.0,0.0,0.0,0.0,1177.0,0,0.062509375,False,REGULAR,USD,2.594365120679556e-14,5.877914534878084e-14,-4.159921468340515e-11,1.0736274285172622e-13,1.2704911729755792e-15
META250328C00625000,2025-03-21 19:59:51+00:00,625.0,2.18,0.0,0.0,0.0,0.0,2414.0,0,0.062509375,False,REGULAR,USD,9.028492489479295e-17,2.2317223267590166e-16,-1.5769894235122183e-13,4.0763408324931376e-16,4.4216203854718245e-18
META250328C00627500,2025-03-21 19:58:30+00:00,627.5,1.8,0.0,0.0,0.0,0.0,660.0,0,0.12500875,False,REGULAR,USD,3.99442040028565e-06,2.761179513872844e-06,-0.00778892843241642,1.0086029393208377e-05,1.9529870201310912e-07
META250328C00630000,2025-03-21 19:59:54+00:00,630.0,1.53,0.0,0.0,0.0,0.0,3482.0,0,0.12500875,False,REGULAR,USD,7.311430120609969e-07,5.419660122204055e-07,-0.0015272459050477655,1.9796920489634888e-06,3.575292951850414e-08
