contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,delta,gamma,theta,vega,rho
META250328P00485000,2025-03-21 19:58:37+00:00,485.0,0.13,0.0,0.0,0.0,0.0,119.0,0,0.2500075,False,REGULAR,USD,-3.1030775859165214e-20,2.1233730267676203e-20,-2.349896053669735e-16,1.5511882553798762e-19,-1.5244149618594854e-21
META250328P00490000,2025-03-21 19:57:44+00:00,490.0,0.13,0.0,0.0,0.0,0.0,252.0,0,0.2500075,False,REGULAR,USD,-1.8417052603189983e-18,1.1992972909392577e-18,-1.3269723964551231e-14,8.76122965188948e-18,-9.048634871269365e-20
META250328P00492500,2025-03-21 15:22:04+00:00,492.5,0.2,0.0,0.0,0.0,0.0,10.0,0,0.2500075,False,REGULAR,USD,-1.2958336144176688e-17,8.225741709259792e-18,-9.100461688956119e-14,6.009153253027822e-17,-6.36707687247081e-19
META250328P00495000,2025-03-21 19:50:00+00:00,495.0,0.2,0.0,0.0,0.0,0.0,203.0,0,0.2500075,False,REGULAR,USD,-8.592915818750341e-17,5.3144830530975254e-17,-5.878959988072507e-13,3.882390701708041e-16,-4.222411756313125e-18
META250328P00497500,2025-03-21 19:25:26+00:00,497.5,0.17,0.0,0.0,0.0,0.0,67.0,0,0.2500075,False,REGULAR,USD,-5.374960408638472e-16,3.2370954055517834e-16,-3.5805005095077766e-12,2.3647961574985268e-15,-2.641349125356475e-17
META250328P00500000,2025-03-21 19:58:23+00:00,500.0,0.2,0.0,0.0,0.0,0.0,2780.0,0,0.2500075,False,REGULAR,USD,-3.1741584614986947e-15,1.8604696596302077e-15,-2.0575815852795087e-11,1.3591293894799995e-14,-1.559951479405879e-16
META250328P00502500,2025-03-21 19:55:00+00:00,502.5,0.23,0.0,0.0,0.0,0.0,63.0,0,0.2500075,False,REGULAR,USD,-1.7712098874762123e-14,1.0097640185477334e-14,-1.1166006478719e-10,7.376631738893468e-14,-8.705345151436001e-16
META250328P00505000,2025-03-21 19:57:54+00:00,505.0,0.23,0.0,0.0,0.0,0.0,395.0,0,0.2500075,False,REGULAR,USD,-9.346811104664738e-14,5.179628490277991e-14,-5.726868069969521e-10,3.783875362484538e-13,-4.594249280404605e-15
META250328P00507500,2025-03-21 19:56:51+00:00,507.5,0.27,0.0,0.0,0.0,0.0,24.0,0,0.2500075,False,REGULAR,USD,-4.668394156276592e-13,2.5130650713465237e-13,-2.7781758100473757e-09,1.835870087137891e-12,-2.29485628179057e-14
META250328P00510000,2025-03-21 19:57:58+00:00,510.0,0.27,0.0,0.0,0.0,0.0,337.0,0,0.2500075,False,REGULAR,USD,-2.2086946383385885e-12,1.1541816064468532e-12,-1.2757458120101275e-08,8.431645923379112e-12,-1.0858314884884483e-13
